PubmedID,Title,Publication Date,Authors,Company Affiliation(s),Corresponding Author Email
40064631,Intraventricular mass in a 52-year-old woman.,2025 Mar 10,"[{'name': 'Brehar FM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pătrășcan AM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Andreescu M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Țîrlea LG', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Olteanu SL', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Schallenberg S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dragomir MP', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Petrescu GED', 'authtype': 'Author', 'clusterid': ''}]",[],
40064621,Adding New Components to a Composite Quality Metric: How Good Is Good Enough?,2025 Apr 1,"[{'name': 'Salerno S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yang E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dahlerus C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Hirth RA', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Han P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Xu T', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Eckard A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Agbenyikey W', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Horton GM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Clark S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Messana JM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Li Y', 'authtype': 'Author', 'clusterid': ''}]",[],
40064612,Examining Farnesyltransferase Interaction With Cell-Permeable CaaX Peptides and the Role of the CaaX Motif in Biological Activity.,2025 Apr,"[{'name': 'Klußmann M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Reuter J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Werner C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Neundorf I', 'authtype': 'Author', 'clusterid': ''}]",[],
40064606,Skin Cancers in People With Albinism: An Overview and Review of Literature.,2025 Mar 10,"[{'name': 'Kassang P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Akakpo SA', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Teclessou JN', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gnosike P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lauressergues E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Przybylski C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Matel L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mahamadou G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mouhari-Toure A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kombate K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Saka B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Garrette B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pitche P', 'authtype': 'Author', 'clusterid': ''}]",[],
40064605,The Lives of Older People With Advanced Cancer Who Live Alone During Outpatient Cancer Chemotherapy: A Descriptive Qualitative Study.,2025 Mar,"[{'name': 'Sugiyama R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Nakamura Y', 'authtype': 'Author', 'clusterid': ''}]",[],
40064603,Causes of Monodactylous Onycholysis in a Diverse Patient Population.,2025 Mar 10,"[{'name': 'Tordjman L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Scheinkman RR', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Morrison BW', 'authtype': 'Author', 'clusterid': ''}]",[],
40064599,Diagnostic Performance of GPT-4o and Gemini Flash 2.0 in Acne and Rosacea.,2025 Mar 10,"[{'name': 'Boostani M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bánvölgyi A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Goldust M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Cantisani C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pietkiewicz P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lőrincz K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Holló P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wikonkál NM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Paragh G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kiss N', 'authtype': 'Author', 'clusterid': ''}]",[],
40064590,Mental Health Challenges in Cancer Survivors From Diverse Backgrounds During COVID-19 Pandemic: Insights From the All of Us Research Program.,2025 Mar,"[{'name': 'Qian Z', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Cho M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhangxu K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Morley F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Onyeaka HK', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Stelzl DR', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dagnino F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zurl H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Korn SM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Cole AP', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Amonoo HL', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kensler KH', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Trinh QD', 'authtype': 'Author', 'clusterid': ''}]",[],
40064578,Advances of PET/CT in Target Delineation of Lung Cancer Before Radiation Therapy.,2025 Mar 9,"[{'name': 'Richlitzki C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Manapov F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Holzgreve A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Rabe M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Werner RA', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Belka C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Unterrainer M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Eze C', 'authtype': 'Author', 'clusterid': ''}]",[],
40064574,Racial Diversity and Co-Mutational Analysis of Biologically Relevant Alterations in EGFR Mutant Lung Cancers.,2025 Feb 14,"[{'name': 'Gutta R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Teslow E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Jaeger E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Stoppler MC', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Chao C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Rous FA', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Potguari B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gadgeel S', 'authtype': 'Author', 'clusterid': ''}]",[],
